Yr,Series,,,Team,W,,Team,W
2011,Western Conf Semifinals,May 2 - May 8 2011,Dallas Mavericks,4,Los Angeles Lakers,0,,
2011,Western Conf Semifinals,May 1 - May 15 2011,Oklahoma City Thunder,4,Memphis Grizzlies,3,,
2011,Eastern Conf Finals,May 15 - May 26 2011,Miami Heat,4,Chicago Bulls,1,,
2011,Western Conf Finals,May 17 - May 25 2011,Dallas Mavericks,4,Oklahoma City Thunder,1,,
2011,Finals,May 31 - Jun 12 2011,Dallas Mavericks,4,Miami Heat,2,,
2010,Eastern Conf First Round,Apr 17 - Apr 27 2010,Cleveland Cavaliers,4,Chicago Bulls,1,,
2010,Eastern Conf First Round,Apr 18 - Apr 26 2010,Orlando Magic,4,Charlotte Bobcats,0,,
2010,Eastern Conf First Round,Apr 17 - May 2 2010,Atlanta Hawks,4,Milwaukee Bucks,3,,
2010,Eastern Conf First Round,Apr 17 - Apr 27 2010,Boston Celtics,4,Miami Heat,1,,
2010,Western Conf First Round,Apr 18 - Apr 30 2010,Los Angeles Lakers,4,Oklahoma City Thunder,2,,
2010,Western Conf First Round,Apr 18 - Apr 29 2010,San Antonio Spurs,4,Dallas Mavericks,2,,
2010,Western Conf First Round,Apr 18 - Apr 29 2010,Phoenix Suns,4,Portland Trail Blazers,2,,
2010,Western Conf First Round,Apr 17 - Apr 30 2010,Utah Jazz,4,Denver Nuggets,2,,
2010,Eastern Conf Semifinals,May 1 - May 13 2010,Boston Celtics,4,Cleveland Cavaliers,2,,
2010,Eastern Conf Semifinals,May 4 - May 10 2010,Orlando Magic,4,Atlanta Hawks,0,,
2010,Western Conf Semifinals,May 2 - May 10 2010,Los Angeles Lakers,4,Utah Jazz,0,,
2010,Western Conf Semifinals,May 3 - May 9 2010,Phoenix Suns,4,San Antonio Spurs,0,,
2010,Western Conf Finals,May 17 - May 29 2010,Los Angeles Lakers,4,Phoenix Suns,2,,
2010,Eastern Conf Finals,May 16 - May 28 2010,Boston Celtics,4,Orlando Magic,2,,
2010,Finals,Jun 3 - Jun 17 2010,Los Angeles Lakers,4,Boston Celtics,3,,
2009,Eastern Conf First Round,Apr 18 - Apr 26 2009,Cleveland Cavaliers,4,Detroit Pistons,0,,
2009,Eastern Conf First Round,Apr 18 - May 2 2009,Boston Celtics,4,Chicago Bulls,3,,
2009,Eastern Conf First Round,Apr 19 - Apr 30 2009,Orlando Magic,4,Philadelphia 76ers,2,,
2009,Eastern Conf First Round,Apr 19 - May 3 2009,Atlanta Hawks,4,Miami Heat,3,,
2009,Western Conf First Round,Apr 19 - Apr 27 2009,Los Angeles Lakers,4,Utah Jazz,1,,
2009,Western Conf First Round,Apr 19 - Apr 29 2009,Denver Nuggets,4,New Orleans Hornets,1,,
2009,Western Conf First Round,Apr 18 - Apr 28 2009,Dallas Mavericks,4,San Antonio Spurs,1,,
2009,Western Conf First Round,Apr 18 - Apr 30 2009,Houston Rockets,4,Portland Trail Blazers,2,,
2009,Western Conf Semifinals,May 4 - May 17 2009,Los Angeles Lakers,4,Houston Rockets,3,,
2009,Western Conf Semifinals,May 3 - May 13 2009,Denver Nuggets,4,Dallas Mavericks,1,,
2009,Eastern Conf Semifinals,May 5 - May 11 2009,Cleveland Cavaliers,4,Atlanta Hawks,0,,
2009,Eastern Conf Semifinals,May 4 - May 17 2009,Orlando Magic,4,Boston Celtics,3,,
2009,Eastern Conf Finals,May 20 - May 30 2009,Orlando Magic,4,Cleveland Cavaliers,2,,
2009,Western Conf Finals,May 19 - May 29 2009,Los Angeles Lakers,4,Denver Nuggets,2,,
2009,Finals,Jun 4 - Jun 14 2009,Los Angeles Lakers,4,Orlando Magic,1,,
