draftPickID,Year,Team ID,Lg,Rd,Pk,Player,College,G
106,1982,Golden State Warriors,NBA,3,60,Chris Engler, englech01,University of Wyoming
107,1982,Golden State Warriors,NBA,4,83,Ken Stancell,Virginia Commonwealth University,
108,1982,Golden State Warriors,NBA,5,106,Albert Irving,Alcorn State University,
109,1982,Golden State Warriors,NBA,6,129,David Vann,Saint Mary's College of California,
110,1982,Golden State Warriors,NBA,7,152,Matt Waldron,University of the Pacific,
111,1982,Golden State Warriors,NBA,8,175,Mark King,Florida Southern College,
112,1982,Golden State Warriors,NBA,9,198,Nick Morken,University of Tennessee,
113,1982,Golden State Warriors,NBA,10,219,Randy Whieldon,University of California Irvine,
114,1981,Golden State Warriors,NBA,2,33,Sam Williams, willisa02,Arizona State University
115,1981,Golden State Warriors,NBA,3,56,Carlton Neverson,University of Pittsburgh,
116,1981,Golden State Warriors,NBA,4,76,Lewis Lloyd, lloydle01,Drake University
117,1981,Golden State Warriors,NBA,4,80,Terry Adolph,West Texas A&M University,
118,1981,Golden State Warriors,NBA,5,102,Hank McDowell, mcdowha01,University of Memphis
119,1981,Golden State Warriors,NBA,6,126,Carter Scott,Ohio State University,
120,1981,Golden State Warriors,NBA,7,148,Robby Dosty,University of Arizona,
121,1981,Golden State Warriors,NBA,8,171,Yasutaka Okayama,,
122,1981,Golden State Warriors,NBA,9,192,Doug Murrey,San Jose State University,
123,1981,Golden State Warriors,NBA,10,213,Barry Brooks,University of Southern California,
124,1980,Golden State Warriors,NBA,1,1,Joe Barry Carroll, carrojo01,Purdue University
125,1980,Golden State Warriors,NBA,1,13,Rickey Brown, brownri01,Mississippi State University
126,1980,Golden State Warriors,NBA,2,24,Larry Smith, smithla01,Alcorn State University
127,1980,Golden State Warriors,NBA,2,25,Jeff Ruland, rulanje01,Iona College
128,1980,Golden State Warriors,NBA,3,49,John Virgil,University of North Carolina,
129,1980,Golden State Warriors,NBA,4,71,Robert Scott,University of Alabama,
130,1980,Golden State Warriors,NBA,5,95,Don Carlino,University of Southern California,
131,1980,Golden State Warriors,NBA,6,117,Neil Bresnahan,University of Illinois at Urbana-Champaign,
132,1980,Golden State Warriors,NBA,7,141,Lorenzo Romar, romarlo01,University of Washington
133,1980,Golden State Warriors,NBA,8,162,Kurt Kanaskie,La Salle University,
134,1980,Golden State Warriors,NBA,9,182,Billy Reid, reidbi01,University of San Francisco
135,1980,Golden State Warriors,NBA,10,200,Tim Higgins,University of Nebraska at Kearney,
136,1979,Golden State Warriors,NBA,2,28,Danny Salisbury,University of Texas-Pan American,
137,1979,Golden State Warriors,NBA,3,54,Cheese Johnson, johnsch02,Wichita State University
138,1979,Golden State Warriors,NBA,4,75,Ron Ripley,University of Wisconsin-Green Bay,
139,1979,Golden State Warriors,NBA,4,82,Jerry Sichting, sichtje01,Purdue University
140,1979,Golden State Warriors,NBA,5,96,George Lett,Centenary College of Louisiana,
141,1979,Golden State Warriors,NBA,6,118,Jim Mitchem,DePaul University,
142,1979,Golden State Warriors,NBA,7,137,Ren Watson,Virginia Commonwealth University,
143,1979,Golden State Warriors,NBA,8,155,Mario Butler,Briar Cliff University,
144,1979,Golden State Warriors,NBA,9,175,Gene Ransom,University of California,
145,1979,Golden State Warriors,NBA,10,192,Kevin Heenan,California State University Fullerton,
146,1978,Golden State Warriors,NBA,1,5,Purvis Short, shortpu01,Jackson State University
147,1978,Golden State Warriors,NBA,1,22,Raymond Townsend, townsra01,University of California Los Angeles
148,1978,Golden State Warriors,NBA,2,40,Wayne Cooper, coopewa01,University of New Orleans
149,1978,Golden State Warriors,NBA,3,56,Steve Neff,Southern Nazarene University,
150,1978,Golden State Warriors,NBA,4,77,Derrick Jackson,Georgetown University,
151,1978,Golden State Warriors,NBA,5,101,Bubba Wilson, wilsobu01,Western Carolina University
152,1978,Golden State Warriors,NBA,6,122,Buzz Hartnett,University of San Diego,
153,1978,Golden State Warriors,NBA,7,142,Rick Bernard,Saint Mary's College of California,
154,1978,Golden State Warriors,NBA,8,163,Tony Searcy,Appalachian State University,
155,1978,Golden State Warriors,NBA,9,179,Bobby Humbles,Bradley University,
156,1978,Golden State Warriors,NBA,10,193,Mike Muff,Murray State University,
157,1977,Golden State Warriors,NBA,1,16,Rickey Green, greenri01,University of Michigan
158,1977,Golden State Warriors,NBA,1,18,Wesley Cox, coxwe01,University of Louisville
